1948,7003,N,0
1949,6974,N,0
1950,6946,N,0
1951,7006,N,0
1952,7014,N,0
1953,7009,N,0
1954,7000,N,0
1955,7024,N,0
1956,7031,N,0
1957,7007,N,0
1958,7068,N,0
1959,,N,0
1960,7040,N,0
1961,7045,N,0
1962,7035,N,0
1963,6995,N,0
1964,6985,N,0
1965,6997,N,0
1966,7005,N,0
1967,7039,N,0
1968,7021,N,0
1969,7051,N,0
1970,7054,N,0
1971,7067,N,0
1972,,N,0
1973,7085,N,0
1974,7054,N,0
1975,7058,N,0
1976,7032,N,0
1977,6988,N,0
1978,7057,N,0
1979,7031,Y,0
1980,7018,N,0
1981,7036,N,0
1982,7033,N,0
1983,7110,N,0
1984,7097,N,0
1985,7073,N,0
1986,7072,N,0
1987,7093,N,0
1988,7052,N,0
1989,7040,N,0
1990,7041,N,0
1991,,N,0
1992,7099,N,0
1993,,N,0
1994,,N,0
1995,7112,Y,0
1996,7160,N,0
1997,7152,N,0
1998,7173,N,0
1999,7129,Y,0
2000,,N,0
2001,,N,0
2002,7112,N,0
2003,7131,N,0
2004,,N,0
2005,,N,0
2006,,N,0
2007,7145,N,0
2008,7168,N,0
2009,7205,N,0
2010,,N,0
2011,7227,N,0
2012,7220,N,0
2013,7200,N,0
2014,7195,Y,0
2015,7166,N,0
2016,7210,N,0
2017,,N,0
2018,7241,N,0
2019,7253,N,0
2020,7245,N,0
2021,7244,N,0
2022,7226,N,0
2023,7305,N,0
2024,7305,N,0